afr Afrikaans
amh Amharic
arb Arabic
aze-Latn Azerbaijani (Latin)
bak Bashkir
bel Belarusian
bem Bemba
ben Bengali
bod Tibetan
bos Bosnian
bul Bulgarian
cat Catalan
ces Czech
ckb-Arab  Central Kurdish (Sorani)
cym Welsh
dan Danish
deu German
div Divehi
dzo Dzongkha
ell Greek
eng-GB  English (British)
eng-IN  English (India)
eng-US  English (US)
est Estonian
eus Basque
ewe Ewe
fao Faroese
fas Persian
fij Fijian
fil Filipino
fin Finnish
fra French
fra-CA  French (Canada)
fuc Pulaar
gle Irish
glg Galician
guj Gujarati
hau Hausa
heb Hebrew
hin Hindi
hmn Hmong
hrv Croatian
hun Hungarian
hye Armenian
ibo Igbo
ind Indonesian
isl Icelandic
ita Italian
jpn Japanese
kan Kannada
kat Georgian
kaz Kazakh
khm Khmer
kin Kinyarwanda
kir Kyrgyz
kmr Northern Kurdish (Kurmanji)
kor Korean
lao Lao
lav Latvian
lit Lithuanian
ltz Luxembourgish
mal Malayalam
mar Marathi
mey Hassaniyya
mkd Macedonian
mlg Malagasy
mlt Maltese
mon Mongolian
mri Maori
msa Malay
mya Myanmar
nde North Ndebele
nep Nepali
nld Dutch
nno Norwegian Nynorsk
nob Norwegian Bokmål
nso Northern Sotho
nya Chichewa
orm Oromo
pan Panjabi
pol Polish
por Portuguese
por-BR Portuguese (Brazil)
prs Dari
pus Pushto
ron Romanian
rus Russian
shi Shilha
sin Sinhala
slk Slovak
slv Slovenian
smo Samoan
sna-Latn Shona (Latin)
snd-Arab Sindhi (Arabic)
som Somali
spa Spanish
spa-MX  Spanish (Mexico)
sqi Albanian
srp-Cyrl    Serbian (Cyrillic)
srp-Latn    Serbian (Latin)
ssw Swati
swa Swahili
swe Swedish
tah Tahitian
tam Tamil
tat Tatar
tel Telugu
tgk-Cyrl Tajik (Cyrillic)
tha Thai
tir Tigrinya
ton Tonga (Tonga Islands)
tsn Tswana
tuk Turkmen
tur Turkish
uig Uighur
ukr Ukrainian
urd Urdu
uzb Uzbek
ven Venda
vie Vietnamese
wol Wolof
xho Xhosa
yor Yoruba
yue Cantonese
zho-CN  Chinese (Simplified)
zho-TW  Chinese (Traditional)
zul Zulu
